"","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)"
"Burkina Faso","386.7 [271.6-533.9]","398.7 [281.0-554.9]","399.9 [281.7-551.8]","401.7 [281.5-554.5]","400.1 [317.0-498.3]","436.1 [349.8-536.7]","487.5 [392.1-599.2]","527.5 [425.0-649.3]","539.6 [433.3-666.0]","551.2 [441.1-678.6]","552.0 [442.4-681.6]","533.4 [425.9-657.5]","503.8 [400.0-629.0]","493.8 [386.6-617.6]","506.8 [401.5-631.3]","537.0 [430.7-667.5]","566.3 [449.5-704.8]","580.6 [459.5-726.2]","588.5 [463.9-735.6]","589.3 [470.0-728.7]"
"Burundi","296.0 [220.1-389.9]","290.1 [217.9-379.0]","259.1 [191.6-343.2]","229.6 [167.3-305.6]","195.9 [141.4-267.2]","178.7 [126.7-246.4]","172.8 [121.6-238.0]","166.2 [118.5-228.6]","167.4 [116.2-233.3]","173.3 [117.7-245.2]","181.0 [124.3-257.0]","198.5 [136.8-276.9]","227.1 [160.4-314.3]","267.0 [190.7-362.7]","306.3 [222.3-409.4]","350.4 [255.5-469.6]","405.0 [296.3-543.5]","445.2 [325.3-596.6]","490.9 [354.1-656.3]","503.9 [370.4-677.4]"
"Cabo Verde","0","0.014","3.027","0.348","0.051","0.193","0.165","0.01","0.054","0.367","0.514","0.28","0.146","0.656","0.565","0.379","0.581","0.66","0.945","1.293"
"Cambodia","12.0 [10.4-14.1]","23.7 [20.4-27.7]","29.5 [25.5-34.6]","16.9 [14.6-19.8]","27.0 [23.3-31.5]","27.9 [24.1-32.7]","16.7 [14.5-19.5]","24.9 [21.6-28.7]","35.8 [31.1-41.2]","34.9 [28.8-42.3]","42.8 [33.4-55.1]","21.9 [16.6-29.5]","19.8 [14.5-28.2]","46.0 [35.8-60.5]","41.4 [35.2-49.2]","43.6 [35.5-53.9]","51.1 [40.1-65.1]","39.1 [28.6-51.7]","44.3 [32.5-59.6]","77.8 [48.0-114.6]"
"Cameroon","243.1 [187.6-312.1]","241.0 [186.2-307.4]","242.8 [183.2-318.7]","247.4 [174.6-340.8]","248.0 [164.0-356.5]","249.1 [162.2-365.5]","253.2 [171.9-360.6]","253.9 [185.3-339.4]","266.6 [204.3-341.8]","290.5 [222.7-371.5]","318.3 [244.0-410.0]","361.7 [275.1-468.6]","397.1 [304.1-506.0]","417.2 [324.2-527.3]","430.2 [336.0-542.1]","432.1 [340.6-543.5]","414.2 [325.5-519.3]","402.5 [317.8-501.6]","406.3 [319.5-509.0]","405.5 [319.0-509.5]"
"Central African Republic","345.0 [231.2-494.8]","343.1 [233.4-489.9]","344.6 [239.8-482.4]","348.6 [244.0-481.1]","358.2 [247.7-503.9]","372.3 [260.5-518.8]","379.8 [269.8-520.5]","379.5 [270.5-512.8]","381.4 [270.0-518.9]","390.1 [283.6-524.3]","405.0 [305.9-524.5]","421.3 [326.4-535.6]","434.8 [338.3-549.1]","441.9 [340.7-563.4]","445.9 [343.7-570.0]","445.3 [336.1-577.5]","436.3 [332.6-564.5]","429.6 [326.7-552.3]","431.7 [327.0-555.3]","433.8 [326.6-564.5]"
"Chad","202.1 [114.0-331.0]","199.2 [114.2-325.2]","193.4 [109.3-321.8]","194.1 [100.0-339.1]","191.6 [89.2-366.1]","185.9 [79.2-368.4]","186.2 [83.3-354.1]","190.8 [95.0-336.7]","197.0 [110.5-321.9]","207.5 [123.3-329.2]","209.7 [123.1-332.2]","209.4 [117.3-352.2]","213.7 [109.6-376.6]","217.5 [108.6-388.4]","218.3 [113.1-386.8]","219.7 [120.1-371.8]","229.2 [127.9-392.2]","237.6 [129.6-398.4]","275.3 [150.5-458.5]","271.7 [149.4-457.3]"
"China","0","0","0","0","0","0","0","0","0.01","0.01","0.016","0.029","0.052","0.063","0.039","0.049","0.052","0.046","0.039","0.015"
"Colombia","10.7 [8.2-13.4]","8.5 [6.5-10.6]","6.8 [5.2-8.5]","10.8 [8.3-13.5]","6.3 [4.8-7.9]","5.5 [4.1-6.8]","7.0 [5.3-8.7]","8.3 [6.3-10.3]","8.3 [6.3-10.4]","16.4 [12.5-20.6]","11.2 [8.5-13.9]","11.4 [8.8-14.2]","18.3 [14.0-22.8]","17.3 [13.3-21.4]","17.7 [13.7-21.8]","21.2 [16.2-26.3]","27.7 [20.9-34.7]","32.2 [24.1-40.7]","37.4 [27.6-47.6]","24.0 [17.6-30.8]"
"Comoros","20.683","18.758","2.794","1.34","1.672","2.901","71.686","68.853","35.178","52.977","52.5 [35.6-69.8]","53.7 [36.5-71.5]","55.1 [37.4-73.3]","56.4 [38.3-75.0]","57.8 [39.2-76.8]","59.2 [40.2-80.4]","60.6 [41.2-82.3]","62.1 [42.1-84.3]","63.6 [43.2-84.5]","65.1 [44.3-86.7]"
"Congo","230.8 [116.2-416.1]","231.2 [119.4-410.0]","222.1 [117.0-376.3]","211.3 [123.5-339.9]","204.7 [128.5-313.6]","203.4 [129.8-303.4]","199.7 [127.4-297.9]","192.3 [122.2-290.0]","191.5 [118.8-295.8]","193.1 [118.4-300.2]","200.4 [127.4-299.4]","219.2 [146.8-313.1]","248.9 [171.8-354.5]","274.8 [188.0-387.4]","295.7 [200.7-420.1]","308.1 [199.7-450.7]","312.1 [206.1-458.2]","320.0 [209.6-472.5]","343.6 [223.7-509.6]","354.2 [231.2-518.6]"
