"","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)"
"Liberia","366.6 [263.3-495.8]","371.0 [275.4-486.8]","380.2 [299.0-475.3]","368.0 [297.2-450.4]","354.5 [282.2-439.4]","353.4 [273.7-449.1]","333.4 [254.9-426.5]","315.9 [242.0-402.6]","319.5 [248.2-405.5]","329.6 [254.7-422.7]","351.6 [273.0-446.2]","375.7 [291.6-476.7]","385.3 [292.0-498.6]","393.8 [291.7-520.8]","403.7 [292.4-546.0]","412.0 [281.3-585.5]","429.1 [294.4-607.4]","443.8 [302.5-624.5]","456.7 [309.1-649.6]","459.8 [311.7-649.8]"
"Madagascar","76.1 [56.9-98.0]","74.3 [55.4-95.2]","65.1 [48.5-83.9]","42.3 [30.4-56.6]","78.3 [56.4-103.8]","37.3 [26.5-50.4]","58.1 [37.6-89.3]","63.8 [38.5-101.0]","36.6 [22.4-53.5]","42.2 [24.8-68.0]","42.9 [25.6-67.7]","23.5 [12.9-39.9]","22.8 [6.9-45.4]","35.3 [1.3-78.4]","35.9 [1.3-80.5]","46.6 [1.6-103.7]","68.3 [1.7-154.3]","53.7 [1.3-121.4]","68.2 [9.5-148.2]","57.2 [5.1-124.2]"
"Malawi","207.7 [154.8-270.7]","207.3 [158.0-265.7]","213.1 [164.0-275.0]","211.5 [162.7-269.4]","220.2 [167.5-281.9]","241.6 [184.8-307.9]","274.4 [212.6-349.4]","324.4 [253.6-408.5]","373.4 [297.6-462.6]","393.8 [316.2-488.2]","396.5 [320.5-490.3]","383.6 [305.9-473.6]","364.1 [287.4-455.4]","357.4 [282.9-447.3]","362.3 [286.6-454.8]","369.6 [281.3-478.1]","398.2 [302.2-519.8]","435.5 [331.1-567.5]","466.8 [355.1-604.4]","466.9 [353.5-604.8]"
"Malaysia","0","0","0.068","0.217","0.2","2.634","2.478","3.149","3.45","4.603","5.368","5.573","3.787","5.051","5.419","6.107","6.415","11.379","13.476","13.694"
"Mali","333.7 [235.5-474.3]","386.8 [272.6-549.3]","386.8 [273.2-550.4]","384.2 [270.5-546.5]","391.8 [276.8-554.6]","441.0 [316.8-612.4]","452.8 [324.3-622.5]","435.7 [309.3-591.7]","404.7 [288.2-553.2]","383.6 [274.6-528.3]","374.6 [259.7-517.8]","379.1 [261.9-529.2]","388.8 [271.3-548.2]","405.7 [283.0-575.7]","431.2 [300.8-620.3]","429.4 [293.2-609.2]","423.8 [281.7-606.0]","416.5 [278.2-605.1]","407.4 [276.4-587.4]","406.2 [275.3-585.5]"
"Mauritania","43.4 [11.9-83.7]","39.4 [18.4-67.9]","55.5 [21.5-105.3]","71.5 [31.2-132.8]","61.6 [24.5-117.4]","49.2 [17.8-97.2]","33.2 [10.0-68.9]","28.4 [6.5-63.1]","47.6 [11.4-99.5]","38.7 [6.0-83.6]","31.4 [1.1-71.3]","61.3 [15.2-123.5]","71.6 [20.0-147.7]","74.7 [19.6-142.7]","85.4 [25.5-160.7]","95.1 [30.6-179.0]","119.2 [49.3-226.8]","125.5 [50.4-230.7]","160.8 [82.1-289.0]","157.2 [79.8-282.1]"
"Mexico","0.228","0.3","0.278","0.211","0.2","0.257","0.196","0.335","0.458","0.507","1.134","1.003","1.02","1.102","1.32","1.537","1.748","2.145","2.35","3.525"
"Morocco","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mozambique","308.4 [244.9-382.3]","314.7 [251.2-389.2]","326.5 [263.3-401.4]","339.8 [276.3-413.9]","344.9 [281.2-418.6]","353.2 [288.3-426.8]","367.0 [300.9-443.6]","371.9 [304.8-449.3]","378.4 [309.2-460.6]","386.3 [314.3-470.0]","385.2 [314.8-467.8]","380.5 [311.2-461.9]","381.5 [313.5-460.8]","392.7 [322.7-472.6]","412.5 [338.0-495.8]","447.8 [366.9-540.9]","479.8 [396.4-577.8]","491.0 [404.3-590.5]","499.2 [409.1-604.2]","484.2 [397.8-586.0]"
"Myanmar","2.3 [1.9-2.8]","5.9 [4.8-7.1]","6.5 [5.3-7.8]","8.3 [6.7-9.9]","8.7 [7.0-10.5]","12.3 [9.0-17.2]","19.8 [14.7-27.4]","61.9 [44.1-90.6]","43.7 [33.7-58.6]","67.0 [45.4-103.7]","49.9 [36.7-71.2]","53.0 [38.8-76.2]","43.5 [31.9-62.3]","34.7 [22.5-53.7]","48.8 [34.2-71.2]","48.8 [34.5-72.2]","48.8 [34.3-72.5]","48.8 [34.2-72.1]","48.8 [33.8-71.6]","48.8 [34.0-72.3]"
"Namibia","2.8 [2.0-4.0]","31.7 [25.2-39.1]","46.7 [37.2-57.2]","22.1 [17.6-27.2]","10.9 [8.7-13.6]","14.5 [11.6-17.7]","4.6 [3.6-5.6]","3.4 [1.5-5.6]","2.1 [1.5-3.2]","1.5 [0.5-3.7]","3.4 [0.4-10.3]","7.5 [1.0-20.3]","13.0 [4.0-30.1]","43.6 [26.2-71.6]","42.4 [22.1-78.0]","69.7 [33.7-134.7]","45.3 [19.4-93.9]","47.9 [22.5-92.5]","71.1 [38.0-127.8]","54.6 [21.8-109.5]"
"Nepal","0.08 [0.07-0.11]","0.5 [0.4-0.8]","0.4 [0.3-0.5]","0.4 [0.3-0.7]","0.6 [0.3-1.2]","0.6 [0.4-1.3]","1.3 [0.9-2.2]","2.4 [1.5-4.2]","3.0 [1.8-5.9]","3.9 [1.9-8.0]","3.3 [1.5-7.4]","4.2 [1.7-9.7]","5.7 [2.4-12.0]","4.9 [2.0-11.4]","5.0 [2.1-11.9]","4.9 [2.0-11.0]","10.4 [4.3-21.7]","12.3 [6.1-22.4]","8.2 [3.1-17.5]","7.2 [4.0-11.7]"
"Nicaragua","5.9 [4.9-7.0]","7.1 [6.0-8.5]","5.0 [4.3-5.7]","2.9 [2.4-3.4]","1.1 [0.9-1.3]","0.5 [0.4-0.6]","0.6 [0.5-0.6]","0.6 [0.5-0.7]","0.5 [0.4-0.5]","0.3 [0.3-0.4]","0.3 [0.3-0.4]","0.4 [0.3-0.4]","0.7 [0.6-0.8]","1.6 [1.4-2.0]","3.5 [2.9-4.2]","3.7 [3.1-4.3]","3.7 [3.1-4.3]","4.3 [3.6-5.3]","5.9 [4.9-7.1]","13.5 [11.3-15.8]"
"Niger","343.2 [180.6-570.6]","356.6 [187.8-595.3]","356.6 [187.5-594.8]","358.7 [188.0-598.9]","369.8 [196.0-610.9]","400.3 [217.5-646.0]","420.5 [239.1-662.0]","430.5 [249.6-665.9]","427.9 [240.3-653.2]","425.6 [233.3-651.1]","419.1 [239.1-649.5]","409.1 [241.5-663.6]","386.7 [217.7-642.3]","370.7 [199.5-622.9]","355.2 [196.5-606.1]","362.8 [190.7-606.1]","346.8 [169.0-575.4]","328.3 [150.2-552.6]","317.5 [142.2-558.7]","317.3 [140.0-557.6]"
"Nigeria","303.3 [238.0-382.4]","298.9 [235.6-373.6]","296.8 [233.7-370.1]","293.0 [232.7-365.2]","290.1 [229.1-361.1]","294.0 [234.1-364.3]","305.1 [242.1-379.9]","326.9 [260.6-407.2]","355.0 [283.0-440.1]","380.0 [305.6-466.0]","401.2 [321.5-492.8]","409.1 [325.4-506.1]","403.8 [313.4-509.8]","399.5 [311.4-510.0]","396.0 [309.4-499.2]","391.8 [307.0-491.0]","389.6 [303.9-489.8]","393.3 [307.9-491.6]","408.6 [320.3-511.6]","417.8 [327.6-526.4]"
"Oman","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pakistan","3.3 [2.6-4.5]","4.6 [3.6-6.3]","4.9 [3.6-7.2]","6.1 [4.1-10.1]","5.1 [2.7-10.4]","7.2 [3.8-14.0]","7.5 [4.0-14.8]","9.0 [4.3-18.2]","10.6 [5.1-20.6]","8.2 [3.6-17.3]","5.9 [2.6-13.5]","4.5 [1.7-11.6]","5.1 [2.1-12.5]","5.3 [2.2-12.6]","5.4 [2.4-12.3]","4.4 [2.5-8.6]","6.1 [2.6-14.7]","6.6 [2.4-16.4]","7.2 [3.0-16.7]","6.6 [2.6-15.7]"
"Panama","0.4 [0.4-0.4]","0.2 [0.2-0.2]","0.2 [0.2-0.2]","0.2 [0.2-0.2]","0.1 [0.1-0.2]","0.3 [0.3-0.3]","0.2 [0.2-0.2]","0.2 [0.2-0.3]","0.1 [0.1-0.1]","0.1 [0.1-0.1]","0.2 [0.2-0.3]","0.2 [0.2-0.2]","0.4 [0.4-0.4]","0.5 [0.5-0.6]","1.2 [1.1-1.3]","1.7 [1.6-1.8]","1.5 [1.5-1.6]","0.8 [0.8-0.8]","0.3 [0.3-0.3]","0.4 [0.3-0.4]"
"Papua New Guinea","156.4 [116.6-201.7]","184.5 [127.6-253.2]","175.1 [119.9-240.5]","162.7 [116.8-218.7]","118.8 [80.7-164.7]","230.5 [138.0-351.6]","205.0 [115.2-317.5]","185.2 [61.6-370.9]","140.0 [51.5-245.3]","169.6 [61.0-297.9]","248.3 [99.2-430.1]","190.1 [63.8-345.5]","205.4 [67.6-371.7]","246.7 [81.8-437.2]","238.5 [78.8-428.8]","291.7 [105.0-515.4]","230.1 [69.7-418.3]","215.5 [64.3-389.9]","254.3 [88.2-447.1]","260.6 [84.8-468.7]"
"Paraguay","0","0","0","0","0","0","0","0","0","0.08","0.41","1.59","6.21","3.866","1.793","3.364","6.864","13.949","13.867","35.761"
"Peru","3.6 [2.6-5.0]","4.7 [3.8-5.6]","5.9 [4.8-7.0]","6.0 [4.9-7.1]","7.8 [6.4-9.4]","7.1 [5.8-8.5]","5.4 [4.4-6.4]","3.5 [2.8-4.1]","2.7 [2.3-3.1]","3.3 [2.9-3.8]","4.6 [4.0-5.3]","4.9 [4.2-5.6]","5.6 [4.8-6.6]","7.3 [6.2-8.4]","9.9 [8.4-11.4]","10.6 [9.0-12.3]","10.4 [8.7-12.3]","12.1 [9.9-14.5]","10.0 [7.9-12.2]","9.1 [6.9-11.3]"
"Philippines","0.7 [0.4-2.8]","0.2 [0.1-0.2]","0.3 [0.2-0.4]","0.3 [0.2-0.4]","0.5 [0.4-0.7]","0.2 [0.2-0.3]","0.3 [0.2-0.4]","0.3 [0.2-0.4]","0.4 [0.3-0.6]","1.0 [0.7-1.3]","1.1 [0.7-1.5]","1.4 [0.9-1.9]","2.2 [1.5-2.9]","2.3 [1.6-3.2]","3.0 [2.2-4.0]","3.5 [2.5-4.7]","3.2 [2.4-4.3]","2.6 [1.9-3.4]","2.4 [1.8-3.2]","2.6 [1.9-3.5]"
"Republic of Korea","0.135","0.14","0.122","0.169","0.176","0.157","0.109","0.112","0.145","0.365","0.26","0.306","0.649","0.599","0.402","0.255","0.347","0.535","0.765","1.261"
"Rwanda","366.1 [267.6-469.7]","530.6 [387.3-681.3]","724.6 [528.8-929.8]","585.5 [432.3-746.8]","339.1 [252.4-429.6]","219.8 [165.3-277.1]","121.4 [101.2-143.2]","71.5 [56.6-86.9]","38.0 [28.3-48.1]","107.6 [74.5-141.9]","158.2 [103.0-221.6]","72.0 [44.4-105.5]","90.6 [54.3-135.9]","154.7 [39.9-243.8]","157.2 [44.1-259.5]","131.5 [55.0-210.5]","154.2 [81.8-256.5]","189.9 [97.5-362.3]","240.8 [105.8-457.9]","254.0 [119.4-471.5]"
"Sao Tome and Principe","11.379","13.917","10.812","11.013","10.319","8.961","48.122","56.801","45.751","15.191","35.15","36.57","14.558","31.829","115.189","302.376","283.608","343.072","290.729","224.758"
"Saudi Arabia","0.014","0.023","0.067","0.105","0.033","0.012","0.014","0.035","0.03","0.013","0.027","0.029","0.231","0.651","0.555","0.665","0.958","1.495","1.81","3.992"
"Senegal","50.5 [33.6-70.8]","82.7 [54.4-117.5]","52.3 [36.2-69.1]","45.6 [31.3-61.8]","69.4 [47.1-93.9]","38.6 [28.4-50.4]","61.8 [44.0-82.6]","52.1 [35.8-70.7]","47.4 [33.3-63.0]","57.9 [40.6-77.0]","50.1 [28.1-77.5]","80.5 [46.6-123.2]","100.6 [42.2-174.9]","136.5 [47.4-245.8]","135.4 [46.6-224.3]","138.0 [32.6-255.7]","209.5 [75.9-332.1]","223.5 [39.7-386.5]","278.4 [56.2-443.9]","305.7 [177.8-433.6]"
"Sierra Leone","334.8 [220.1-485.7]","350.9 [248.4-476.6]","361.6 [277.0-465.0]","385.8 [312.1-469.1]","397.8 [314.0-497.8]","409.6 [319.9-515.0]","422.2 [332.0-526.7]","433.4 [341.6-537.6]","440.3 [341.4-556.9]","443.3 [342.0-562.8]","439.5 [331.4-568.2]","416.6 [299.5-566.7]","386.9 [245.1-572.0]","381.2 [229.9-589.6]","398.5 [252.8-603.5]","420.8 [269.4-627.5]","447.0 [286.5-667.6]","465.5 [299.2-690.3]","476.4 [306.9-718.1]","473.4 [303.4-706.1]"
"Solomon Islands","247.9 [184.0-346.8]","133.6 [116.0-157.8]","164.3 [127.1-220.8]","137.7 [117.4-164.7]","66.8 [55.3-82.1]","52.6 [43.0-67.1]","94.9 [70.7-132.6]","94.9 [70.8-132.6]","116.9 [82.1-171.6]","174.9 [126.3-250.7]","147.6 [105.9-211.8]","185.9 [134.4-264.9]","319.1 [227.8-455.7]","591.3 [314.9-974.2]","613.8 [324.6-997.4]","743.5 [411.9-1193.9]","540.0 [375.1-784.1]","649.8 [352.6-1057.8]","681.3 [369.3-1098.4]","623.2 [323.1-1030.5]"
"Somalia","49.1 [29.1-73.6]","51.4 [30.6-77.2]","55.7 [32.8-83.7]","56.0 [33.2-84.0]","55.7 [32.7-83.5]","47.7 [29.4-70.9]","41.8 [25.3-62.2]","35.7 [21.5-52.3]","35.6 [21.3-52.2]","43.7 [26.2-64.5]","38.4 [23.3-55.7]","63.1 [38.2-94.0]","100.6 [60.8-150.3]","120.1 [74.4-178.4]","136.6 [84.7-200.9]","120.0 [69.7-183.6]","121.0 [65.9-204.4]","126.2 [63.7-218.7]","126.0 [61.6-240.6]","125.6 [61.5-240.0]"
"South Africa","0.529","1.651","4.963","0.769","0.787","2.146","1.61","1.065","1.897","1.574","1.203","1.566","1.288","2.495","1.62","2.833","2.881","3.391","5.816","4.0 [2.9-5.8]"
"South Sudan","272.0 [159.3-436.2]","272.5 [162.4-430.5]","271.5 [164.5-425.3]","271.4 [166.8-418.2]","280.0 [170.3-433.9]","284.5 [173.7-436.7]","289.8 [184.8-436.1]","289.2 [187.9-427.9]","287.4 [185.7-427.8]","284.2 [180.8-427.4]","286.4 [187.0-420.2]","295.9 [197.1-432.0]","301.9 [197.4-446.5]","306.5 [197.3-456.2]","307.3 [200.1-454.2]","307.4 [202.3-457.2]","324.1 [209.5-473.8]","338.1 [219.6-501.2]","364.0 [234.5-540.3]","370.1 [241.6-550.1]"
"Sri Lanka","0","0","0","0","0","0","0","0","0.026","0.147","0.115","0.146","0.043","0.13","0.365","0.834","2.377","9.445","15.293","48.633"
"Sudan","55.4 [26.4-102.4]","51.2 [25.3-93.4]","46.1 [24.0-79.3]","47.0 [28.2-74.6]","38.1 [24.6-56.8]","35.5 [24.0-50.4]","32.8 [23.5-44.9]","31.6 [23.6-41.4]","31.8 [23.6-42.0]","32.2 [23.7-42.7]","33.9 [25.1-44.8]","38.4 [27.6-51.9]","46.7 [31.0-67.4]","52.8 [33.4-80.2]","54.9 [33.7-85.0]","55.6 [34.1-85.7]","61.6 [37.4-95.3]","67.1 [40.6-104.3]","88.8 [54.1-137.0]","94.4 [57.6-145.6]"
"Suriname","1.106","0.341","0.475","0.911","0.981","4.907","9.018","4.453","9.754","21.906","30.804","35.468","23.059","44.07","123.777","114.899","152.384","180.232","227.351","163.331"
"Syrian Arab Republic","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tajikistan","0","0","0","0","0","0","0","0.01","0.025","0.044","0.067","0.132","0.269","0.581","1.018","1.612","2.484","2.87","5.396","9.182"
"Thailand","0.268","0.463","0.641","1.36","1.805","2.683","2.337","2.257","1.129","1.8","2.805","2.455","2.641","2.411","2.384","2.164","3.05","3.665","5.269","6.839"
"Timor-Leste","0","0","0.02 [0.02-0.02]","0.1 [0.1-0.1]","0.10 [0.08-0.12]","0.4 [0.4-0.5]","1.3 [1.1-1.6]","6.9 [5.8-8.1]","31.3 [24.8-39.2]","99.7 [70.0-134.2]","102.2 [73.2-135.6]","135.2 [89.7-186.4]","115.2 [82.1-151.8]","126.8 [72.2-188.3]","120.8 [76.9-169.9]","181.3 [98.5-273.5]","51.9 [43.8-60.6]","84.8 [54.2-119.8]","106.8 [44.8-252.5]","106.8 [44.5-253.7]"
"Togo","225.0 [163.9-303.5]","244.9 [185.6-320.1]","286.5 [222.6-364.4]","340.1 [272.3-420.1]","368.7 [298.1-450.8]","379.0 [308.5-463.0]","378.1 [307.4-460.8]","345.3 [272.8-429.6]","314.4 [246.1-396.2]","311.5 [243.1-392.4]","328.4 [257.7-415.5]","377.7 [299.0-470.0]","430.2 [344.2-532.6]","457.6 [367.5-562.6]","472.5 [384.0-577.5]","473.4 [382.2-576.3]","458.1 [371.4-560.0]","447.1 [362.3-546.3]","446.7 [363.1-546.8]","448.9 [363.1-548.5]"
"Turkey","0","0","0","0","0","0","0","0","0","0","0.01","0.036","0.069","0.178","0.472","1.217","2.147","2.414","2.591","2.781"
"Turkmenistan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.01","0.023","0.06","0.027","0.082"
"Uganda","262.7 [173.9-410.7]","262.7 [172.2-419.9]","294.9 [194.8-409.8]","283.1 [200.4-374.3]","253.5 [177.7-345.8]","294.3 [219.2-388.0]","332.3 [254.4-428.4]","376.6 [295.2-473.7]","394.7 [311.3-491.4]","409.4 [326.0-505.4]","423.1 [340.3-521.2]","418.0 [330.9-519.9]","415.4 [322.0-529.4]","421.3 [325.1-537.2]","433.6 [335.9-555.2]","449.8 [346.2-575.7]","484.1 [373.9-620.5]","500.2 [381.8-637.3]","508.0 [393.6-651.1]","487.2 [374.8-620.7]"
"United Arab Emirates","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United Republic of Tanzania","111.2 [80.3-151.5]","111.9 [81.5-150.5]","119.5 [86.9-158.7]","130.1 [96.6-172.0]","141.8 [105.7-186.7]","145.2 [108.0-189.9]","131.3 [98.1-173.6]","122.1 [90.2-162.1]","125.5 [91.9-167.4]","133.4 [97.4-179.5]","145.4 [106.7-193.2]","164.1 [120.4-218.2]","189.2 [141.4-249.3]","214.8 [162.9-278.1]","237.0 [181.1-304.3]","252.9 [191.5-324.8]","278.0 [211.2-357.2]","302.0 [230.1-388.0]","332.2 [252.9-430.4]","343.7 [259.2-440.9]"
"Uzbekistan","0","0","0","0","0","0","0","0","0","0.105","0","0.253","1.103","2.723","3.86","2.531","2.874","2.91","3.067","5.087"
"Vanuatu","3.5 [2.7-4.7]","4.0 [3.1-5.5]","7.9 [6.0-10.9]","15.0 [11.5-20.1]","2.9 [2.5-3.4]","9.2 [7.2-12.5]","20.8 [16.0-28.1]","33.6 [25.7-44.1]","47.9 [36.7-65.9]","66.3 [55.0-84.7]","64.7 [35.2-108.6]","119.1 [57.9-516.2]","124.4 [68.3-533.1]","107.0 [65.3-163.3]","122.4 [81.2-186.4]","162.2 [112.7-220.5]","214.6 [140.7-321.7]","189.0 [128.9-273.3]","98.8 [68.7-142.7]","125.3 [70.3-205.4]"
"Venezuela (Bolivarian Republic of)","32.8 [29.1-37.7]","32.9 [29.3-37.9]","32.8 [29.2-37.8]","18.9 [16.8-21.9]","10.6 [9.4-12.2]","7.1 [6.3-8.1]","6.2 [5.5-7.1]","4.2 [3.7-4.9]","3.7 [3.3-4.3]","4.1 [3.4-5.1]","3.0 [2.6-3.5]","2.7 [2.4-3.2]","3.6 [3.2-4.2]","3.3 [2.9-3.8]","4.0 [3.6-4.7]","4.2 [3.8-5.0]","2.9 [2.6-3.4]","2.8 [2.5-3.3]","1.9 [1.7-2.3]","2.9 [2.6-3.5]"
"Viet Nam","0.1 [0.1-0.2]","0.08 [0.08-0.09]","0.08 [0.07-0.09]","0.07 [0.07-0.08]","0.2 [0.1-0.2]","0.3 [0.3-0.3]","0.3 [0.3-0.3]","0.4 [0.3-0.4]","0.3 [0.3-0.4]","0.4 [0.3-0.4]","0.4 [0.3-0.4]","0.3 [0.3-0.3]","0.4 [0.4-0.5]","0.7 [0.6-0.9]","0.7 [0.6-0.8]","0.9 [0.8-1.2]","1.6 [1.3-2.1]","2.2 [1.7-2.9]","3.1 [2.5-4.0]","3.4 [2.7-4.6]"
"Yemen","46.4 [32.4-67.0]","46.1 [32.1-67.1]","41.6 [29.4-59.7]","37.8 [26.7-54.4]","30.1 [21.1-43.1]","35.3 [24.9-50.7]","43.2 [30.2-62.4]","54.6 [36.6-82.7]","51.6 [32.3-85.9]","75.8 [43.2-147.6]","48.4 [24.7-113.9]","38.3 [19.5-86.9]","62.1 [31.6-136.7]","90.1 [40.3-412.4]","77.4 [33.8-365.3]","75.9 [34.9-337.7]","97.1 [41.1-448.4]","109.9 [52.1-463.8]","101.9 [44.7-472.1]","94.0 [40.7-405.3]"
"Zambia","147.7 [93.6-223.4]","157.5 [102.2-231.3]","173.7 [120.7-244.9]","201.8 [149.0-268.4]","220.0 [168.7-283.3]","234.7 [182.5-297.3]","230.6 [179.7-290.0]","205.0 [160.0-256.5]","185.8 [146.6-231.8]","173.5 [137.7-217.0]","169.5 [132.3-213.0]","175.6 [135.0-222.9]","194.3 [149.6-249.5]","222.6 [170.0-285.5]","260.1 [197.7-336.6]","303.8 [225.4-399.2]","344.2 [254.1-454.5]","369.3 [275.4-487.3]","397.0 [293.5-525.1]","391.5 [290.7-513.7]"
"Zimbabwe","67.9 [40.7-97.4]","56.0 [34.7-79.3]","117.7 [73.3-169.5]","68.3 [44.7-94.5]","97.6 [66.1-132.7]","101.9 [75.2-130.2]","82.0 [58.4-107.4]","57.2 [39.0-76.6]","70.7 [46.3-97.7]","109.4 [60.7-173.7]","90.5 [42.3-152.4]","74.7 [16.6-146.2]","175.1 [73.8-303.9]","113.2 [29.4-269.5]","113.2 [28.7-264.9]","113.2 [27.9-263.3]","113.2 [29.6-268.4]","113.2 [29.6-262.6]","113.2 [30.0-265.9]","113.2 [31.1-266.9]"
